Title,"Percentage of first degree qualifiers obtaining each classification by sex, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2013/14 to 2017/18,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
2013/14 total,395605,,,,,
2014/15 total,370905,,,,,
2015/16 total,376330,,,,,
2016/17 total,391875,,,,,
2017/18 total,396940,,,,,
Last updated,Jan-19,,,,,
,,,,,,
,,,,,,
Academic Year,Mode of study,Sex,Country of HE provider,Classification of First Degree,Number,Percentage
2013/14,All,All,All,First,79410,20%
2013/14,All,All,All,Lower second,95965,24%
2013/14,All,All,All,Third/Pass,21905,6%
2013/14,All,All,All,Total classified,395605,
2013/14,All,All,All,Upper second,198320,50%
2013/14,All,All,England,First,68590,20%
2013/14,All,All,England,Lower second,81665,24%
2013/14,All,All,England,Third/Pass,19385,6%
2013/14,All,All,England,Total classified,339170,
2013/14,All,All,England,Upper second,169530,50%
2013/14,All,All,Northern Ireland,First,1590,19%
2013/14,All,All,Northern Ireland,Lower second,2215,26%
2013/14,All,All,Northern Ireland,Third/Pass,285,3%
2013/14,All,All,Northern Ireland,Total classified,8560,
2013/14,All,All,Northern Ireland,Upper second,4470,52%
2013/14,All,All,Scotland,First,5125,21%
2013/14,All,All,Scotland,Lower second,5505,22%
2013/14,All,All,Scotland,Third/Pass,875,4%
2013/14,All,All,Scotland,Total classified,24880,
2013/14,All,All,Scotland,Upper second,13380,54%
2013/14,All,All,Wales,First,4110,18%
2013/14,All,All,Wales,Lower second,6585,29%
2013/14,All,All,Wales,Third/Pass,1360,6%
2013/14,All,All,Wales,Total classified,22995,
2013/14,All,All,Wales,Upper second,10945,48%
2013/14,All,Female,All,First,44530,20%
2013/14,All,Female,All,Lower second,50520,23%
2013/14,All,Female,All,Third/Pass,10605,5%
2013/14,All,Female,All,Total classified,222230,
2013/14,All,Female,All,Upper second,116570,52%
2013/14,All,Female,England,First,38495,20%
2013/14,All,Female,England,Lower second,43150,23%
2013/14,All,Female,England,Third/Pass,9480,5%
2013/14,All,Female,England,Total classified,190835,
2013/14,All,Female,England,Upper second,99715,52%
2013/14,All,Female,Northern Ireland,First,920,18%
2013/14,All,Female,Northern Ireland,Lower second,1220,24%
2013/14,All,Female,Northern Ireland,Third/Pass,140,3%
2013/14,All,Female,Northern Ireland,Total classified,4990,
2013/14,All,Female,Northern Ireland,Upper second,2710,54%
2013/14,All,Female,Scotland,First,2830,20%
2013/14,All,Female,Scotland,Lower second,2850,20%
2013/14,All,Female,Scotland,Third/Pass,395,3%
2013/14,All,Female,Scotland,Total classified,13980,
2013/14,All,Female,Scotland,Upper second,7905,57%
2013/14,All,Female,Wales,First,2290,18%
2013/14,All,Female,Wales,Lower second,3305,27%
2013/14,All,Female,Wales,Third/Pass,590,5%
2013/14,All,Female,Wales,Total classified,12425,
2013/14,All,Female,Wales,Upper second,6245,50%
2013/14,All,Male,All,First,34870,20%
2013/14,All,Male,All,Lower second,45440,26%
2013/14,All,Male,All,Third/Pass,11295,7%
2013/14,All,Male,All,Total classified,173345,
2013/14,All,Male,All,Upper second,81740,47%
2013/14,All,Male,England,First,30090,20%
2013/14,All,Male,England,Lower second,38515,26%
2013/14,All,Male,England,Third/Pass,9905,7%
2013/14,All,Male,England,Total classified,148315,
2013/14,All,Male,England,Upper second,69805,47%
2013/14,All,Male,Northern Ireland,First,670,19%
2013/14,All,Male,Northern Ireland,Lower second,995,28%
2013/14,All,Male,Northern Ireland,Third/Pass,145,4%
2013/14,All,Male,Northern Ireland,Total classified,3570,
2013/14,All,Male,Northern Ireland,Upper second,1760,49%
2013/14,All,Male,Scotland,First,2290,21%
2013/14,All,Male,Scotland,Lower second,2650,24%
2013/14,All,Male,Scotland,Third/Pass,480,4%
2013/14,All,Male,Scotland,Total classified,10895,
2013/14,All,Male,Scotland,Upper second,5470,50%
2013/14,All,Male,Wales,First,1820,17%
2013/14,All,Male,Wales,Lower second,3275,31%
2013/14,All,Male,Wales,Third/Pass,770,7%
2013/14,All,Male,Wales,Total classified,10565,
2013/14,All,Male,Wales,Upper second,4700,44%
2013/14,All,Other,All,First,10,31%
2013/14,All,Other,All,Lower second,5,21%
2013/14,All,Other,All,Third/Pass,0,3%
2013/14,All,Other,All,Total classified,30,
2013/14,All,Other,All,Upper second,15,45%
2013/14,All,Other,England,First,5,..
2013/14,All,Other,England,Lower second,5,..
2013/14,All,Other,England,Third/Pass,0,..
2013/14,All,Other,England,Total classified,20,
2013/14,All,Other,England,Upper second,10,..
2013/14,All,Other,Scotland,First,0,..
2013/14,All,Other,Scotland,Lower second,0,..
2013/14,All,Other,Scotland,Third/Pass,0,..
2013/14,All,Other,Scotland,Total classified,5,
2013/14,All,Other,Scotland,Upper second,5,..
2013/14,All,Other,Wales,First,0,..
2013/14,All,Other,Wales,Lower second,5,..
2013/14,All,Other,Wales,Third/Pass,0,..
2013/14,All,Other,Wales,Total classified,5,
2013/14,All,Other,Wales,Upper second,0,..
2013/14,Full-time,All,All,First,73810,20%
2013/14,Full-time,All,All,Lower second,85760,24%
2013/14,Full-time,All,All,Third/Pass,16670,5%
2013/14,Full-time,All,All,Total classified,362370,
2013/14,Full-time,All,All,Upper second,186125,51%
2013/14,Full-time,All,England,First,63590,21%
